Account Id,Exchange,Trading Symbol,Product Type,Net Qty,Last Traded Price,Buy Qty,Sell Qty,Buy Value,Sell Value,Mark To Market,Total Turnover,Net Value,Buy Avg Price,Sell Avg Price,BEP,Instrument Name,Entity Type,Client Type,Option Type,Strike Price,Option flag,RMS Square Off,Realized MTM,Unrealized MTM,Total Consideration,MTM (Base Currency),Realized MTM (Base Currency),Unrealised MTM (Base Currency),Buy Value (Base Currency),Sell Value (Base Currency),Net Value (Base Currency),Branch Id,Expiry,Actual Buy Avg Price,Actual Sell Avg Price,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,Lot Size,Net Lot,Buy Lot,Sell Lot,Security Id,Giveup Buy Qty,Giveup Sell Qty,Giveup Net Qty,
PR37,BSEFO,SENSEX 12FEB2026 CE 84500,NRML,0,0.05,3000,3000,137295.00,321198.00,183903.00,458493.00,183903.00,45.77,107.07,0.00,IO,,Non_Institutionals,CE,84500.00,OTM,Included,183903.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,45.77,107.07,137295.00,321198.00,183903.00,183903.00,0.00,20,0,150,150,831669,0,0,0,
PR09,BSEFO,SENSEX 12FEB2026 PE 83100,NRML,0,0.05,560,560,3508.00,1284.00,-2224.00,4792.00,-2224.00,6.26,2.29,0.00,IO,,Non_Institutionals,PE,83100.00,OTM,Included,-2224.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,6.26,2.29,3508.00,1284.00,-2224.00,-2224.00,0.00,20,0,28,28,827485,0,0,0,
PR14,BSEFO,SENSEX 12FEB2026 PE 83700,MIS,0,25.10,560,560,32019.00,27976.00,-4043.00,59995.00,-4043.00,57.18,49.96,0.00,IO,,Non_Institutionals,PE,83700.00,ATM,Included,-4043.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,57.18,49.96,32019.00,27976.00,-4043.00,-4043.00,0.00,20,0,28,28,824886,0,0,0,
PR06,BSEFO,SENSEX 12FEB2026 PE 80700,NRML,0,0.05,180,180,366.00,276.00,-90.00,642.00,-90.00,2.03,1.53,0.00,IO,,Non_Institutionals,PE,80700.00,OTM,Included,-90.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,2.03,1.53,366.00,276.00,-90.00,-90.00,0.00,20,0,9,9,830972,0,0,0,
PR36,BSEFO,SENSEX 12FEB2026 CE 84200,NRML,0,0.05,2500,2500,373207.00,219352.00,-153855.00,592559.00,-153855.00,149.28,87.74,0.00,IO,,Non_Institutionals,CE,84200.00,OTM,Included,-153855.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,149.28,87.74,373207.00,219352.00,-153855.00,-153855.00,0.00,20,0,125,125,828461,0,0,0,
PR24,BSEFO,SENSEX 12FEB2026 CE 84100,MIS,0,0.05,700,700,13969.00,52386.00,38417.00,66355.00,38417.00,19.96,74.84,0.00,IO,,Non_Institutionals,CE,84100.00,OTM,Included,38417.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,19.96,74.84,13969.00,52386.00,38417.00,38417.00,0.00,20,0,35,35,830732,0,0,0,
PR23,BSEFO,SENSEX 12FEB2026 PE 83600,NRML,0,0.05,1340,1340,49651.00,50030.00,379.00,99681.00,379.00,37.05,37.34,0.00,IO,,Non_Institutionals,PE,83600.00,OTM,Included,379.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,37.05,37.34,49651.00,50030.00,379.00,379.00,0.00,20,0,67,67,826651,0,0,0,
PR14,BSEFO,SENSEX 12FEB2026 CE 87800,NRML,0,0.05,100,100,215.00,80.00,-135.00,295.00,-135.00,2.15,0.80,0.00,IO,,Non_Institutionals,CE,87800.00,OTM,Included,-135.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,2.15,0.80,215.00,80.00,-135.00,-135.00,0.00,20,0,5,5,824195,0,0,0,
PR20,BSEFO,SENSEX 12FEB2026 CE 83600,NRML,0,74.70,1600,1600,135351.00,91246.00,-44105.00,226597.00,-44105.00,84.59,57.03,0.00,IO,,Non_Institutionals,CE,83600.00,ITM,Included,-44105.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,84.59,57.03,135351.00,91246.00,-44105.00,-44105.00,0.00,20,0,80,80,825144,0,0,0,
PR12,BSEFO,SENSEX 12FEB2026 PE 83900,NRML,0,224.40,800,800,239988.00,99394.00,-140594.00,339382.00,-140594.00,299.99,124.24,0.00,IO,,Non_Institutionals,PE,83900.00,ITM,Included,-140594.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,299.99,124.24,239988.00,99394.00,-140594.00,-140594.00,0.00,20,0,40,40,825357,0,0,0,
PR20,BSEFO,SENSEX 12FEB2026 PE 83500,NRML,0,0.05,300,300,4087.00,4129.00,42.00,8216.00,42.00,13.62,13.76,0.00,IO,,Non_Institutionals,PE,83500.00,OTM,Included,42.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,13.62,13.76,4087.00,4129.00,42.00,42.00,0.00,20,0,15,15,828414,0,0,0,
PR22,BSEFO,SENSEX 12FEB2026 PE 83700,NRML,0,25.10,8400,8400,474914.00,434240.00,-40674.00,909154.00,-40674.00,56.54,51.70,0.00,IO,,Non_Institutionals,PE,83700.00,ATM,Included,-40674.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,56.54,51.70,474914.00,434240.00,-40674.00,-40674.00,0.00,20,0,420,420,824886,0,0,0,
PR21,BSEFO,SENSEX 12FEB2026 PE 84000,MIS,0,324.90,2100,2100,488352.00,304120.00,-184232.00,792472.00,-184232.00,232.55,144.82,0.00,IO,,Non_Institutionals,PE,84000.00,ITM,Included,-184232.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,232.55,144.82,488352.00,304120.00,-184232.00,-184232.00,0.00,20,0,105,105,830030,0,0,0,
PR05,BSEFO,SENSEX 19FEB2026 CE 84300,MIS,0,226.35,400,400,91940.00,102038.00,10098.00,193978.00,10098.00,229.85,255.10,0.00,IO,,Non_Institutionals,CE,84300.00,OTM,Included,10098.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,19Feb2026,229.85,255.10,91940.00,102038.00,10098.00,10098.00,0.00,20,0,20,20,836961,0,0,0,
PR06,BSEFO,SENSEX 12FEB2026 PE 83700,NRML,0,25.10,420,420,26575.00,30256.00,3681.00,56831.00,3681.00,63.27,72.04,0.00,IO,,Non_Institutionals,PE,83700.00,ATM,Included,3681.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,63.27,72.04,26575.00,30256.00,3681.00,3681.00,0.00,20,0,21,21,824886,0,0,0,
PR18,BSEFO,SENSEX 12FEB2026 PE 82100,MIS,0,0.05,640,640,2048.00,1952.00,-96.00,4000.00,-96.00,3.20,3.05,0.00,IO,,Non_Institutionals,PE,82100.00,OTM,Included,-96.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,3.20,3.05,2048.00,1952.00,-96.00,-96.00,0.00,20,0,32,32,830924,0,0,0,
PR22,BSEFO,SENSEX 12FEB2026 CE 84300,NRML,0,0.05,1400,1400,32130.00,30542.00,-1588.00,62672.00,-1588.00,22.95,21.82,0.00,IO,,Non_Institutionals,CE,84300.00,OTM,Included,-1588.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,22.95,21.82,32130.00,30542.00,-1588.00,-1588.00,0.00,20,0,70,70,831199,0,0,0,
PR12,BSEFO,SENSEX 12FEB2026 CE 84600,NRML,0,0.10,340,340,1457.00,838.00,-619.00,2295.00,-619.00,4.29,2.46,0.00,IO,,Non_Institutionals,CE,84600.00,OTM,Included,-619.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,4.29,2.46,1457.00,838.00,-619.00,-619.00,0.00,20,0,17,17,829387,0,0,0,
